metric,median,iqr_low,iqr_high,kruskal_cancer_H,kruskal_cancer_p,kruskal_kts_H,kruskal_kts_p
immune_sector_strength,455.23091584644,290.3348926352832,572.9629618879718,16.1803418803419,0.006347614072393425,10.480056980056986,0.033072811401538
exhaustion_sector_strength,435.2484696444367,300.0481035795159,535.43572516172,15.782905982906001,0.007492009963146884,8.558404558404575,0.07313653250588274
tumor_sector_strength,383.35567872296633,292.21007548028695,504.19576110961475,15.599755799755826,0.008084733532486068,6.6809116809116915,0.15374245210570953
tumor_sector_fraction,0.4866256540497633,0.4516696538231916,0.5043823823830743,13.16153846153847,0.021911100527788985,9.296296296296305,0.054105446793008966
immune_sector_fraction_lie,0.5133743459502353,0.49561761761692474,0.5483303461768072,13.16153846153847,0.021911100527788985,9.296296296296305,0.054105446793008966
immune_closure,0.612100743461693,0.5796940359226336,0.642034865032808,12.346520146520149,0.030336097652263822,8.621082621082621,0.07130081373730111
immune_sector_entropy,1.0953213715519918,1.0918978019394463,1.0969771511951911,10.384981684981682,0.06503353157092577,0.448717948717956,0.9782974113794324
lie_immune_geometry_score,4.3693288308216305,4.078026115142823,4.845990639068067,6.496581196581204,0.26085072020915245,8.850427350427353,0.06494877547274891
algebra_entropy_lie,1.784591885227257,1.7796365657734066,1.7877255086194181,6.226495726495742,0.2847996399755959,7.84045584045586,0.09760046067464638
jacobi_inconsistency_proxy,9.75857511094379e-06,2.299117842968211e-06,2.34567031054459e-05,5.249328449328473,0.38621574855893803,5.7236467236467234,0.22075894566607598
tm_dominance_lie,0.14761550567402287,0.13816190885225665,0.1560828620812485,4.762759462759476,0.4455139730570885,8.353276353276371,0.07946152539934644
