sample_id,cancer_type,n_interface,n_edges,comm_TI,comm_TE,comm_TM,comm_IE,comm_IM,comm_EM,frac_TI,frac_TE,frac_TM,frac_IE,frac_IM,frac_EM,tumor_sector_strength,immune_sector_strength,tumor_sector_fraction,immune_sector_fraction,tm_dominance,immune_to_TM_ratio,operator_entropy,dominant_channel,TM_is_dominant,immune_sector_gt_TM
Breast6,Breast,913,5478,195.6049398161917,196.09006677253652,184.3334293126483,231.17614637900132,176.0326766252472,207.45126945731255,0.16427884804191928,0.16468628201376734,0.15481246767875206,0.19415333302727142,0.14784107886490863,0.1742279903733804,576.0284359013765,614.6600924615611,0.48377759773443874,0.5162224022655605,0.15481246767875206,3.3345014778574518,1.7878725784222795,IE,False,True
Breast7,Breast,1490,8940,168.84706711457153,161.71512686716954,136.2877991019268,222.62141604440237,195.84501759308665,168.56434201334486,0.16021458225992932,0.15344726999939154,0.129319941254437,0.21123966073669376,0.18583223397107515,0.15994631177847232,466.84999308366787,587.0307756508339,0.4429817935137579,0.5570182064862412,0.129319941254437,4.307287809467094,1.7798671832180395,IE,False,True
Breast8,Breast,1225,7350,133.14525575260697,132.97765218986243,113.2469282754414,192.5713742681395,180.68004787961803,145.53738879913186,0.14824246938211177,0.14805586141115518,0.12608788952032654,0.21440685882836574,0.20116718627601815,0.16203973458202148,379.3698362179108,518.7888109468894,0.42238622031359346,0.5776137796864054,0.12608788952032654,4.581040906337667,1.774546596199741,IE,False,True
Breast9,Breast,1409,8454,171.65448950662469,186.68077458614735,166.94925614943864,256.71333472738803,217.0820341015251,227.1728321783242,0.1399829631625389,0.15223678720642125,0.13614588025487218,0.20934782062364649,0.17702878887831267,0.18525775987420773,525.2845202422106,700.9682010072373,0.42836563062383226,0.5716343693761669,0.13614588025487218,4.19869017193935,1.7795066646813738,IE,False,True
Colorectal5,Colorectal,598,3588,59.41908184459121,72.51606257348767,97.442603616561,76.79617059655034,73.2729330068467,86.62752256228633,0.1274884120083637,0.1555890359728712,0.20907093161633258,0.1647723514692581,0.15721296227145312,0.1858663066617192,229.3777480346399,236.69662616568337,0.49214837959756746,0.5078516204024304,0.20907093161633258,2.4290876616668404,1.780030434453911,TM,True,True
Colorectal6,Colorectal,420,2520,64.83499137023004,93.59185446419124,64.15426777223225,92.87279297283848,71.42372368937397,83.13500311598884,0.13794308230251726,0.19912625282043503,0.1364947731515579,0.19759637587611897,0.15196128490208216,0.1768782309472865,222.5811136066535,247.4315197782013,0.4735641082745101,0.5264358917254877,0.1364947731515579,3.856820884569315,1.7795596932918623,TE,False,True
Colorectal7,Colorectal,1167,7002,133.91209749377472,134.66439607889927,97.74880470650704,128.1119589013268,110.18904473299482,108.31735251364009,0.1878298469482476,0.18888504756677194,0.13710593270522764,0.17969436729788393,0.15455505361294314,0.15192975186892432,366.325298279181,346.61835614796166,0.5138208272202471,0.48617917277975137,0.13710593270522764,3.546011198691252,1.7846390544889785,TE,False,True
Colorectal8,Colorectal,795,4770,70.03651961526207,76.02459041297888,70.2121995423137,77.65422131875975,79.7450662244209,86.0617526278217,0.15234128068662575,0.1653663478826772,0.15272341425387037,0.16891107084431142,0.1734590122953614,0.18719887403715155,216.27330957055463,243.46104017100237,0.47043104282317333,0.5295689571768244,0.15272341425387037,3.4675033933992627,1.789152701096417,EM,False,True
Glioblstoma2,Glioblastoma,1162,6972,290.69546025391014,195.78995381168198,161.11401355289323,184.97240772588566,159.859311071922,135.1488537720046,0.2578047324405948,0.1736373062478816,0.14288477405238495,0.1640437110404552,0.14177203484030096,0.11985744137838168,647.5994276184854,479.98057256981224,0.5743268127408614,0.42567318725913783,0.14288477405238495,2.9791360911770295,1.7592406362862236,TI,False,True
Glioblstoma3,Glioblastoma,1511,9066,200.6319816056699,171.7404722960021,142.91442149077832,200.45711760454213,170.70032515858583,136.64306207507408,0.19610444374794042,0.1678649112623044,0.13968936011952224,0.19593352579458992,0.1668482364821094,0.13355952259353265,515.2868753924503,507.8005048382021,0.503658715129767,0.496341284870232,0.13968936011952224,3.553178885246125,1.7810226789001047,TI,False,True
Glioblstoma4,Glioblastoma,1672,10032,298.7745304892976,224.1653972213076,194.4161142310721,248.4613989012606,208.87852382869193,166.46898062979218,0.22277239763536236,0.16714230267249272,0.14496062912483718,0.18525789819642177,0.15574409736883416,0.12412267500205112,717.3560419416773,623.8089033597447,0.5348753294326922,0.46512467056730705,0.14496062912483718,3.2086275658113257,1.774418645501256,TI,False,True
Glioblstoma5,Glioblastoma,1450,8700,199.17015393391753,184.6148357824142,172.54179227207726,205.51669565247548,190.14623771486816,150.46918013719693,0.1806599363914254,0.1674573415273374,0.15650632688208063,0.18641665144402622,0.17247467319844764,0.13648507055668188,556.326781988409,546.1321135045405,0.5046236048008435,0.49537639519915566,0.15650632688208063,3.1652164169209156,1.78672865979159,IE,False,True
Lung1,Lung,1736,10416,221.27594899318225,221.84733659475415,221.92429469114376,198.06369903510318,200.21725375221584,206.56903586899406,0.17424708449413498,0.17469703228169625,0.17475763409578912,0.15596824805417014,0.1576640972075141,0.16266590386669463,665.0475802790802,604.8499886563131,0.5237017508716204,0.4762982491283789,0.17475763409578912,2.725478927388692,1.7905589158057003,TM,True,True
Lung2,Lung,1270,7620,104.89528915572951,106.52100210136751,73.81362845017726,98.99018479137838,75.23818252822203,74.93236419291885,0.19628952886113674,0.19933170959900548,0.13812672112001032,0.18523936480816872,0.14079247523601718,0.14022020037565966,285.2299197072743,249.16073151251925,0.5337479595801525,0.4662520404198456,0.13812672112001032,3.3755383219061565,1.7783250724632593,TE,False,True
Lung3,Lung,1502,9012,133.92480890852235,131.5151099403002,116.47460362776026,145.53022294747535,124.83519744507754,129.66353574980567,0.1712717256048461,0.16819004638619192,0.1489552721041629,0.18611348125123925,0.15964734134692152,0.16582213330663692,381.9145224765828,400.02895614235854,0.4884170440952009,0.5115829559047976,0.1489552721041629,3.4344736421752735,1.7894682848246029,IE,False,True
Lung4,Lung,775,4650,64.89087320653783,64.60950389325866,59.643110993773305,87.10230985902851,73.70181951922282,81.41277488885214,0.15043308184002321,0.14978079823155527,0.13826747204899562,0.20192468154609677,0.17085903301385716,0.1887349333194697,189.14348809356977,242.21690426710347,0.438481352120574,0.5615186478794236,0.13826747204899562,4.061104463387006,1.782542101443914,IE,False,True
Lung5,Lung,939,5634,99.48669462630637,105.8957515163888,107.7680966566296,101.8886572202352,101.69726038751564,112.47162155187216,0.15811413978753874,0.16830004978114332,0.1712757667083823,0.16193157739331562,0.1616273905301659,0.17875107579945246,313.1505427993248,316.057539159623,0.4976899562770644,0.502310043722934,0.1712757667083823,2.9327560657087757,1.790892299110026,EM,False,True
Lung6,Lung,1375,8250,131.60122395849987,126.23029137467962,126.96531963617029,142.96421545467095,162.60914705483984,161.20869181181794,0.1545379125921226,0.14823088378790464,0.1490940196297324,0.1678813522182926,0.1909501857077325,0.1893056460642141,384.7968349693498,466.7820543213287,0.45186281600975964,0.5481371839902391,0.1490940196297324,3.6764531894136754,1.7861211407252437,IM,False,True
Lung7,Lung,983,5898,87.60558043598873,106.27653129564075,78.5150147534688,98.4419138990509,77.32761148996842,88.59368281516417,0.16321172555848676,0.19799624604743118,0.14627573924388282,0.183400127649217,0.1440635726832003,0.16505258881778,272.3971264850983,264.3632082041835,0.5074837108498008,0.4925162891501973,0.14627573924388282,3.3670401646648167,1.7852178952862454,TE,False,True
Ovarian1,Ovarian,759,4554,112.2119075104011,107.2578159899975,97.28321998843855,135.9678328171041,93.38324930362432,97.37878202125576,0.17438213761070537,0.16668326599882252,0.15118231417342184,0.2112998687839245,0.1451215917445303,0.15133082168859394,316.75294348883716,326.7298641419842,0.49224771778294973,0.5077522822170487,0.15118231417342184,3.358542862590388,1.7831513071932767,IE,False,True
Ovarian2,Ovarian,1027,6162,89.06485680481117,87.85522341140125,85.76410871775752,95.15238183930656,95.24734562972955,91.36094965813388,0.16358838581611168,0.16136661191610016,0.1575257919837309,0.17476954558814956,0.17494396874160864,0.1678056959542972,262.68418893396995,281.76067712716997,0.4824807897159427,0.5175192102840553,0.1575257919837309,3.285298259839876,1.7909903490501513,IM,False,True
Prostate5,Prostate,1209,7254,125.32938716346999,135.40003069584006,156.82777448732125,138.7675704545773,138.98606741968644,165.92613949728752,0.14552253510956528,0.15721576692201922,0.18209596197274125,0.1611258867579561,0.1613795880884745,0.19266026114924253,417.55719234663127,443.67977737155127,0.4848342640043257,0.5151657359956731,0.18209596197274125,2.829089291242973,1.7872842992108342,EM,False,True
Prostate6,Prostate,1410,8460,149.58414610320506,130.49882063220866,143.34021000200732,184.60434106594437,168.38617800849715,161.18205032906047,0.1595401288016531,0.1391845272009097,0.15288061042510614,0.19689118879406442,0.17959358145721377,0.17190996332105182,423.42317673742104,514.1725694035019,0.45160526642766896,0.5483947335723299,0.15288061042510614,3.5870783878180306,1.785457641276003,IE,False,True
Prostate7,Prostate,1072,6432,121.47108929317284,105.9322981203732,122.0944570613317,112.50565552777329,129.188992757942,119.15051374511071,0.17100342817578976,0.14912837481355912,0.17188098699237514,0.15838215411059972,0.18186846576197618,0.16773659014569858,349.49784447487775,360.84516203082603,0.492012789981724,0.5079872100182745,0.17188098699237514,2.955459000481568,1.7897798957235942,IM,False,True
Prostate8,Prostate,1424,8544,172.04474698410638,152.65084691979845,146.22682435720318,203.6947743062481,195.76393837145696,182.44786533807715,0.16341186231810345,0.1449911120035791,0.1388894349170698,0.19347375027337957,0.185940868900586,0.17329297158728127,470.9224182611081,581.9065780157822,0.4472924092387524,0.5527075907612469,0.1388894349170698,3.9794790085456255,1.7845447159655359,IE,False,True
Prostate9,Prostate,1564,9384,167.6909592399538,138.37014221412784,136.4464272617056,215.53166531680085,199.3387405549785,171.46063342358065,0.1629905453137491,0.13449159714299172,0.1326218043375558,0.2094902660321589,0.19375123246042475,0.16665455471311874,442.5075287157872,586.3310392953599,0.4301039467942966,0.5698960532057024,0.1326218043375558,4.297152010955677,1.7774763885126506,IE,False,True
